source_year,filename,bytes,sha256,source_commit
2025,20030288.pdf,132935,72f9ff318a495512ff99df0958350652fff11d29841d3a425f19a1fd1377933f,510945b2b1d600dd90b183858b86419926b81e65
2025,20030289.pdf,64032,13ad0b499cd30aeb8265a208a789d0c2f71c0eaf8e4ccdb3fcab9160da75dcd0,510945b2b1d600dd90b183858b86419926b81e65
2025,20030291.pdf,179249,8fea7cd2760c902bb966b5fc5b8ff60f6716049f34adfb8ed846ebebc12d9caf,510945b2b1d600dd90b183858b86419926b81e65
2025,20030292.pdf,114660,0908a32b6967c6fbdad10a8752a8198e450be0131cc95de5cc7fd8ccf389f221,510945b2b1d600dd90b183858b86419926b81e65
2025,20030295.pdf,120054,84e607b7bf0395e139aa35a9dcb17fe6f85821f65a7aeecd793ce296aa49edba,510945b2b1d600dd90b183858b86419926b81e65
2025,20030296.pdf,203212,bba42089f1fa654eb019e4c126e929d7178e70765ee5f7dbc94a95d77aaa2ace,510945b2b1d600dd90b183858b86419926b81e65
2025,20030307.pdf,69271,0e3856b915af5802855caa7b2f6f83f8fe30bf162350aaa5e9586d0f28c26fcf,510945b2b1d600dd90b183858b86419926b81e65
2025,20030311.pdf,64476,5541e02577c75833d19d0f5bb2a7ac5a74cdc1d97e608536784b5819ae727415,510945b2b1d600dd90b183858b86419926b81e65
2025,20030312.pdf,70253,2af5a8af62571d182ae882413a7308c9df7a325997ff17772c2bc0cd0846c5e1,510945b2b1d600dd90b183858b86419926b81e65
2025,20030313.pdf,75831,2b5ca2352e17ac5140ce6aba585be1c0ee474f1feb3c40dcc9ff8fdcdf30171a,510945b2b1d600dd90b183858b86419926b81e65
2025,20030316.pdf,88911,f5bd7087864333b5cf9436465f12e0b9153a30fda9b4932e43bf28726b3f97c4,510945b2b1d600dd90b183858b86419926b81e65
